url_length,dot_count,hyphen_count,has_at,uses_https,digit_count,special_char_count,keyword_count,has_ip,is_shortened,domain_length,domain_dot_count,subdomain_count,path_length,query_length,query_parameter_count,suspicious_tld,domain_letter_count,digit_ratio,vowel_count,consonant_count,unique_char_count,domain_entropy,label
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,2,10,10,3.1820058147602133,1
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,0,12,11,3.3248629576173565,1
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,1,11,8,2.807354922057604,1
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,2,10,10,3.182005814760214,1
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,2,10,10,3.182005814760214,1
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,2,10,10,3.182005814760214,1
21,2,0,0,1,1,4,0,0,0,12,2,1,1,0,0,0,9,0.08333333333333333,2,7,8,2.751629167387823,1
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,0,12,10,3.1820058147602133,1
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,2,10,11,3.3248629576173565,1
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,2,10,11,3.3248629576173565,1
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,1,11,10,3.182005814760214,1
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,1,11,10,3.09306920777189,1
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,1,11,10,3.182005814760214,1
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,1,11,9,3.039148671903071,1
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,2,10,9,2.9852281360342516,1
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,0,12,9,3.039148671903071,1
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,1,11,10,3.182005814760214,1
23,2,0,0,1,0,4,0,0,0,14,2,1,1,0,0,0,12,0.0,4,8,9,2.9852281360342516,1
